"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","59","[FKT-08] Search: {""category"":""Electronics"",""size"":""XL"",""color"":""Onyx Black"",""inStock"":true}","api-regression","2026-07-06","failed","2026-07-06","Pairwise Testing — Product Search filter combinations","product/pairwiseTesting.test.ts","",""
"","59","[IDEM-GET-02] GET /products with same params returns stable result set","api-regression","2026-07-06","failed","2026-07-06","Idempotency — GET requests","idempotency/idempotency.test.ts","",""
"","73","[EG-C-01] applyCoupon with already-used coupon code is rejected","api-regression","2026-07-06","failed","2026-07-06","Error Guessing — Cart Coupon & Item Operations","payment/errorGuessing.test.ts","",""
"","65","[GET] Check stock — with size and color variants returns filtered quantity","api-regression","2026-07-06","failed","2026-07-06","Inventory API — Stock Check","inventory/inventory.test.ts","",""
"","61","[EG-P-03] processPayment with non-existent orderId returns 404","api-regression","2026-07-06","failed","2026-07-06","Error Guessing — Payment Processing","payment/errorGuessing.test.ts","",""
"","82","[RT-C-02] Concurrent reads across different endpoints return independent results","api-regression","2026-07-06","failed","2026-07-06","Retry & Timeout — Concurrent Requests","resilience/retryAndTimeout.test.ts","",""
"","95","[ST-V-04] S4→S6: requestReturn after delivery transitions to return_requested","api-regression","2026-07-06","failed","2026-07-06","State Transition — Order Lifecycle (valid transitions)","order/stateTransition.test.ts","",""
"","68","[FKT-07] Search: {""category"":""Electronics"",""size"":""128GB"",""inStock"":false}","api-regression","2026-07-06","failed","2026-07-06","Pairwise Testing — Product Search filter combinations","product/pairwiseTesting.test.ts","",""
"","62","[BVA-Q-04] quantity=98 (max-1) returns 200","api-regression","2026-07-06","failed","2026-07-06","BVA — Cart: quantity boundaries [1, 99]","cart/boundaryValueAnalysis.test.ts","",""
"","77","[BVA-PS-04] pageSize=49 (max-1) returns up to 49 results","api-regression","2026-07-06","failed","2026-07-06","BVA — Product Search: pageSize boundaries [1, 50]","cart/boundaryValueAnalysis.test.ts","",""
"","98","[RT-C-01] 5 concurrent GET requests all complete within SLA","api-regression","2026-07-06","failed","2026-07-06","Retry & Timeout — Concurrent Requests","resilience/retryAndTimeout.test.ts","",""
"","177","[RBT-09] Inventory is decremented after a successful order placement","api-regression","2026-07-06","failed","2026-07-06","Risk-Based Testing — P2: Medium Risks (Regression)","checkout/riskBased.test.ts","",""
"","79","[FKT-04] Search: {""category"":""Clothing"",""size"":""128GB"",""color"":""Glacier Blue"",""inStock"":true}","api-regression","2026-07-06","failed","2026-07-06","Pairwise Testing — Product Search filter combinations","product/pairwiseTesting.test.ts","",""
"","75","[POST] Verify create order with a custom shipping address built via OrderRequestBuilder","api-regression","2026-07-06","failed","2026-07-06","Order API - Create Order with Test Data Builders","order/createOrderWithBuilder.test.ts","",""
"","78","[POST] Refund payment — partial refund returns 200","api-regression","2026-07-06","failed","2026-07-06","Payment API — Refunds","payment/payment.test.ts","",""
"","83","[IDEM-DEL-03] DELETE /addresses/:id twice — second call returns 404 consistently","api-regression","2026-07-06","failed","2026-07-06","Idempotency — DELETE requests","idempotency/idempotency.test.ts","",""
"","83","[GET] Verify pagination works correctly","api-regression","2026-07-06","failed","2026-07-06","Product API - GET Operations","product/getProduct.test.ts","",""
"","73","[EP-C-02] Known category ""Clothing"" returns results","api-regression","2026-07-06","failed","2026-07-06","Equivalence Partitioning — Product Search: category field","product/equivalencePartitioning.test.ts","",""
"","75","[ST-V-03] S3→S4: order marked as delivered after shipping","api-regression","2026-07-06","failed","2026-07-06","State Transition — Order Lifecycle (valid transitions)","order/stateTransition.test.ts","",""
"","70","[BVA-PG-04] page=99999 (beyond last page) returns empty data array","api-regression","2026-07-06","failed","2026-07-06","BVA — Product Search: page number boundaries","cart/boundaryValueAnalysis.test.ts","",""
"","105","[FKT-03] Search: {""category"":""Smartphones"",""inStock"":true}","api-regression","2026-07-06","failed","2026-07-06","Pairwise Testing — Product Search filter combinations","product/pairwiseTesting.test.ts","",""
"","76","[POST] Logout — accessing profile after logout returns 401","api-regression","2026-07-06","failed","2026-07-06","User API — Authentication","user/user.test.ts","",""
"","69","[EG-P-09] refundPayment called twice on same paymentId is rejected on second call","api-regression","2026-07-06","failed","2026-07-06","Error Guessing — Refunds","payment/errorGuessing.test.ts","",""
"","69","[IDEM-PUT-02] PUT /users/profile twice with same data — second call mirrors first","api-regression","2026-07-06","failed","2026-07-06","Idempotency — PUT requests","idempotency/idempotency.test.ts","",""
"","84","[POST] Request password reset — non-existent email still returns 200 (anti-enumeration)","api-regression","2026-07-06","failed","2026-07-06","User API — Password Management","user/user.test.ts","",""
"","164","[BVA-PS-03] pageSize=2 (min+1) returns up to 2 results","api-regression","2026-07-06","failed","2026-07-06","BVA — Product Search: pageSize boundaries [1, 50]","cart/boundaryValueAnalysis.test.ts","",""
"","77","[EG-P-08] refundPayment with amount greater than original is rejected","api-regression","2026-07-06","failed","2026-07-06","Error Guessing — Refunds","payment/errorGuessing.test.ts","",""
"","69","[EG-P-04] processPayment with non-existent paymentMethodId returns 404","api-regression","2026-07-06","failed","2026-07-06","Error Guessing — Payment Processing","payment/errorGuessing.test.ts","",""
"","116","[BVA-Q-03] quantity=2 (min+1) returns 200","api-regression","2026-07-06","failed","2026-07-06","BVA — Cart: quantity boundaries [1, 99]","cart/boundaryValueAnalysis.test.ts","",""
"","61","[EP-P-04] minPrice equals maxPrice returns exact-match products only","api-regression","2026-07-06","failed","2026-07-06","Equivalence Partitioning — Product Search: price range","product/equivalencePartitioning.test.ts","",""
