"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","78","[GET] Verify search products by category","api-regression","2026-07-04","failed","2026-07-04","Product API - GET Operations","product/getProduct.test.ts","",""
"","65","[EG-C-03] updateCartItem for non-existent cart item returns 404","api-regression","2026-07-04","failed","2026-07-04","Error Guessing — Cart Coupon & Item Operations","payment/errorGuessing.test.ts","",""
"","94","[BVA-A-03] amount=0.02 (min+1 cent) returns 200","api-regression","2026-07-04","failed","2026-07-04","BVA — Payment: amount minimum boundary (0.01)","cart/boundaryValueAnalysis.test.ts","",""
"","82","[BVA-PS-03] pageSize=2 (min+1) returns up to 2 results","api-regression","2026-07-04","failed","2026-07-04","BVA — Product Search: pageSize boundaries [1, 50]","cart/boundaryValueAnalysis.test.ts","",""
"","69","[EG-P-04] processPayment with non-existent paymentMethodId returns 404","api-regression","2026-07-04","failed","2026-07-04","Error Guessing — Payment Processing","payment/errorGuessing.test.ts","",""
"","84","[POST] Refund payment — partial refund returns 200","api-regression","2026-07-04","failed","2026-07-04","Payment API — Refunds","payment/payment.test.ts","",""
"","116","[BVA-Q-04] quantity=98 (max-1) returns 200","api-regression","2026-07-04","failed","2026-07-04","BVA — Cart: quantity boundaries [1, 99]","cart/boundaryValueAnalysis.test.ts","",""
"","74","[FKT-01] Search: {""category"":""Smartphones"",""size"":""128GB"",""color"":""Onyx Black"",""inStock"":true}","api-regression","2026-07-04","failed","2026-07-04","Pairwise Testing — Product Search filter combinations","product/pairwiseTesting.test.ts","",""
"","105","[ST-V-03] S3→S4: order marked as delivered after shipping","api-regression","2026-07-04","failed","2026-07-04","State Transition — Order Lifecycle (valid transitions)","order/stateTransition.test.ts","",""
"","96","[IDEM-DEL-02] DELETE non-existent resource consistently returns 404","api-regression","2026-07-04","failed","2026-07-04","Idempotency — DELETE requests","idempotency/idempotency.test.ts","",""
"","74","[EP-C-02] Known category ""Clothing"" returns results","api-regression","2026-07-04","failed","2026-07-04","Equivalence Partitioning — Product Search: category field","product/equivalencePartitioning.test.ts","",""
"","84","[ST-V-04] S4→S6: requestReturn after delivery transitions to return_requested","api-regression","2026-07-04","failed","2026-07-04","State Transition — Order Lifecycle (valid transitions)","order/stateTransition.test.ts","",""
"","76","[FKT-02] Search: {""category"":""Smartphones"",""size"":""XL"",""color"":""Glacier Blue"",""inStock"":false}","api-regression","2026-07-04","failed","2026-07-04","Pairwise Testing — Product Search filter combinations","product/pairwiseTesting.test.ts","",""
"","152","[RBT-07] Applied coupon discount is mathematically correct","api-regression","2026-07-04","failed","2026-07-04","Risk-Based Testing — P2: Medium Risks (Regression)","checkout/riskBased.test.ts","",""
"","95","[FKT-03] Search: {""category"":""Smartphones"",""inStock"":true}","api-regression","2026-07-04","failed","2026-07-04","Pairwise Testing — Product Search filter combinations","product/pairwiseTesting.test.ts","",""
"","73","[GET] Check stock — with size and color variants returns filtered quantity","api-regression","2026-07-04","failed","2026-07-04","Inventory API — Stock Check","inventory/inventory.test.ts","",""
"","116","[POST] Verify add same item twice increases quantity","api-regression","2026-07-04","failed","2026-07-04","Cart API - Add to Cart Operations","cart/addToCart.test.ts","",""
"","104","[EG-P-08] refundPayment with amount greater than original is rejected","api-regression","2026-07-04","failed","2026-07-04","Error Guessing — Refunds","payment/errorGuessing.test.ts","",""
"","71","[GET] Verify pagination works correctly","api-regression","2026-07-04","failed","2026-07-04","Product API - GET Operations","product/getProduct.test.ts","",""
"","58","[FKT-09] Search: {""category"":""Electronics"",""color"":""Glacier Blue"",""inStock"":true}","api-regression","2026-07-04","failed","2026-07-04","Pairwise Testing — Product Search filter combinations","product/pairwiseTesting.test.ts","",""
"","78","[EG-P-03] processPayment with non-existent orderId returns 404","api-regression","2026-07-04","failed","2026-07-04","Error Guessing — Payment Processing","payment/errorGuessing.test.ts","",""
"","83","[FKT-05] Search: {""category"":""Clothing"",""size"":""XL"",""inStock"":false}","api-regression","2026-07-04","failed","2026-07-04","Pairwise Testing — Product Search filter combinations","product/pairwiseTesting.test.ts","",""
"","89","[RT-C-02] Concurrent reads across different endpoints return independent results","api-regression","2026-07-04","failed","2026-07-04","Retry & Timeout — Concurrent Requests","resilience/retryAndTimeout.test.ts","",""
"","127","[POST] Verify order totals calculation is correct","api-regression","2026-07-04","failed","2026-07-04","Order API - Create Order Operations","order/createOrder.test.ts","",""
"","100","[EG-P-07] addPaymentMethod without cardNumber is rejected","api-regression","2026-07-04","failed","2026-07-04","Error Guessing — Add Payment Method","payment/errorGuessing.test.ts","",""
"","63","[FKT-08] Search: {""category"":""Electronics"",""size"":""XL"",""color"":""Onyx Black"",""inStock"":true}","api-regression","2026-07-04","failed","2026-07-04","Pairwise Testing — Product Search filter combinations","product/pairwiseTesting.test.ts","",""
"","102","[RT-T-04] GET /products/search with filters responds within SLA","api-regression","2026-07-04","failed","2026-07-04","Retry & Timeout — Response Time SLA","resilience/retryAndTimeout.test.ts","",""
