"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","75","[POST] Refund payment — partial refund returns 200","api-regression","2026-07-02","failed","2026-07-02","Payment API — Refunds","payment/payment.test.ts","",""
"","95","[EG-P-09] refundPayment called twice on same paymentId is rejected on second call","api-regression","2026-07-02","failed","2026-07-02","Error Guessing — Refunds","payment/errorGuessing.test.ts","",""
"","84","[FKT-04] Search: {""category"":""Clothing"",""size"":""128GB"",""color"":""Glacier Blue"",""inStock"":true}","api-regression","2026-07-02","failed","2026-07-02","Pairwise Testing — Product Search filter combinations","product/pairwiseTesting.test.ts","",""
"","87","[EG-P-04] processPayment with non-existent paymentMethodId returns 404","api-regression","2026-07-02","failed","2026-07-02","Error Guessing — Payment Processing","payment/errorGuessing.test.ts","",""
"","81","[GET] Check stock — with size and color variants returns filtered quantity","api-regression","2026-07-02","failed","2026-07-02","Inventory API — Stock Check","inventory/inventory.test.ts","",""
"","64","[FKT-02] Search: {""category"":""Smartphones"",""size"":""XL"",""color"":""Glacier Blue"",""inStock"":false}","api-regression","2026-07-02","failed","2026-07-02","Pairwise Testing — Product Search filter combinations","product/pairwiseTesting.test.ts","",""
"","90","[RT-R-02] Order status polling — retrying GET /status converges to a terminal state","api-regression","2026-07-02","failed","2026-07-02","Retry & Timeout — Retry Safety (Idempotent vs Non-Idempotent)","resilience/retryAndTimeout.test.ts","",""
"","74","[RT-R-03] POST /cart/items is NOT safe to retry — each call creates a separate entry","api-regression","2026-07-02","failed","2026-07-02","Retry & Timeout — Retry Safety (Idempotent vs Non-Idempotent)","resilience/retryAndTimeout.test.ts","",""
"","70","[FKT-03] Search: {""category"":""Smartphones"",""inStock"":true}","api-regression","2026-07-02","failed","2026-07-02","Pairwise Testing — Product Search filter combinations","product/pairwiseTesting.test.ts","",""
"","96","[RT-C-01] 5 concurrent GET requests all complete within SLA","api-regression","2026-07-02","failed","2026-07-02","Retry & Timeout — Concurrent Requests","resilience/retryAndTimeout.test.ts","",""
"","73","[BVA-PS-04] pageSize=49 (max-1) returns up to 49 results","api-regression","2026-07-02","failed","2026-07-02","BVA — Product Search: pageSize boundaries [1, 50]","cart/boundaryValueAnalysis.test.ts","",""
"","95","[POST] Logout — accessing profile after logout returns 401","api-regression","2026-07-02","failed","2026-07-02","User API — Authentication","user/user.test.ts","",""
"","84","[EG-P-08] refundPayment with amount greater than original is rejected","api-regression","2026-07-02","failed","2026-07-02","Error Guessing — Refunds","payment/errorGuessing.test.ts","",""
"","88","[RT-T-04] GET /products/search with filters responds within SLA","api-regression","2026-07-02","failed","2026-07-02","Retry & Timeout — Response Time SLA","resilience/retryAndTimeout.test.ts","",""
"","94","[POST] Request password reset — non-existent email still returns 200 (anti-enumeration)","api-regression","2026-07-02","failed","2026-07-02","User API — Password Management","user/user.test.ts","",""
"","79","[BVA-PS-03] pageSize=2 (min+1) returns up to 2 results","api-regression","2026-07-02","failed","2026-07-02","BVA — Product Search: pageSize boundaries [1, 50]","cart/boundaryValueAnalysis.test.ts","",""
"","76","[GET] Check stock — out-of-stock product returns 200 with quantity 0","api-regression","2026-07-02","failed","2026-07-02","Inventory API — Stock Check","inventory/inventory.test.ts","",""
"","68","[EP-C-02] Known category ""Clothing"" returns results","api-regression","2026-07-02","failed","2026-07-02","Equivalence Partitioning — Product Search: category field","product/equivalencePartitioning.test.ts","",""
"","76","[FKT-01] Search: {""category"":""Smartphones"",""size"":""128GB"",""color"":""Onyx Black"",""inStock"":true}","api-regression","2026-07-02","failed","2026-07-02","Pairwise Testing — Product Search filter combinations","product/pairwiseTesting.test.ts","",""
"","103","[POST] Verify order totals calculation is correct","api-regression","2026-07-02","failed","2026-07-02","Order API - Create Order Operations","order/createOrder.test.ts","",""
"","92","[IDEM-PUT-02] PUT /users/profile twice with same data — second call mirrors first","api-regression","2026-07-02","failed","2026-07-02","Idempotency — PUT requests","idempotency/idempotency.test.ts","",""
"","87","[IDEM-DEL-02] DELETE non-existent resource consistently returns 404","api-regression","2026-07-02","failed","2026-07-02","Idempotency — DELETE requests","idempotency/idempotency.test.ts","",""
"","129","[IDEM-DEL-03] DELETE /addresses/:id twice — second call returns 404 consistently","api-regression","2026-07-02","failed","2026-07-02","Idempotency — DELETE requests","idempotency/idempotency.test.ts","",""
"","96","[ST-V-03] S3→S4: order marked as delivered after shipping","api-regression","2026-07-02","failed","2026-07-02","State Transition — Order Lifecycle (valid transitions)","order/stateTransition.test.ts","",""
"","81","[EG-C-01] applyCoupon with already-used coupon code is rejected","api-regression","2026-07-02","failed","2026-07-02","Error Guessing — Cart Coupon & Item Operations","payment/errorGuessing.test.ts","",""
"","86","[BVA-PG-03] page=2 (min+1) returns second page","api-regression","2026-07-02","failed","2026-07-02","BVA — Product Search: page number boundaries","cart/boundaryValueAnalysis.test.ts","",""
"","82","[EG-C-03] updateCartItem for non-existent cart item returns 404","api-regression","2026-07-02","failed","2026-07-02","Error Guessing — Cart Coupon & Item Operations","payment/errorGuessing.test.ts","",""
"","144","[BVA-A-03] amount=0.02 (min+1 cent) returns 200","api-regression","2026-07-02","failed","2026-07-02","BVA — Payment: amount minimum boundary (0.01)","cart/boundaryValueAnalysis.test.ts","",""
"","96","[FKT-08] Search: {""category"":""Electronics"",""size"":""XL"",""color"":""Onyx Black"",""inStock"":true}","api-regression","2026-07-02","failed","2026-07-02","Pairwise Testing — Product Search filter combinations","product/pairwiseTesting.test.ts","",""
"","105","[RT-C-02] Concurrent reads across different endpoints return independent results","api-regression","2026-07-02","failed","2026-07-02","Retry & Timeout — Concurrent Requests","resilience/retryAndTimeout.test.ts","",""
"","119","[RBT-07] Applied coupon discount is mathematically correct","api-regression","2026-07-02","failed","2026-07-02","Risk-Based Testing — P2: Medium Risks (Regression)","checkout/riskBased.test.ts","",""
"","108","[GET] Verify search products by category","api-regression","2026-07-02","failed","2026-07-02","Product API - GET Operations","product/getProduct.test.ts","",""
"","102","[BVA-Q-03] quantity=2 (min+1) returns 200","api-regression","2026-07-02","failed","2026-07-02","BVA — Cart: quantity boundaries [1, 99]","cart/boundaryValueAnalysis.test.ts","",""
"","107","[BVA-Q-04] quantity=98 (max-1) returns 200","api-regression","2026-07-02","failed","2026-07-02","BVA — Cart: quantity boundaries [1, 99]","cart/boundaryValueAnalysis.test.ts","",""
"","65","[FKT-09] Search: {""category"":""Electronics"",""color"":""Glacier Blue"",""inStock"":true}","api-regression","2026-07-02","failed","2026-07-02","Pairwise Testing — Product Search filter combinations","product/pairwiseTesting.test.ts","",""
"","80","[IDEM-GET-02] GET /products with same params returns stable result set","api-regression","2026-07-02","failed","2026-07-02","Idempotency — GET requests","idempotency/idempotency.test.ts","",""
"","102","[POST] Verify add same item twice increases quantity","api-regression","2026-07-02","failed","2026-07-02","Cart API - Add to Cart Operations","cart/addToCart.test.ts","",""
"","100","[EG-P-03] processPayment with non-existent orderId returns 404","api-regression","2026-07-02","failed","2026-07-02","Error Guessing — Payment Processing","payment/errorGuessing.test.ts","",""
"","77","[FKT-06] Search: {""category"":""Clothing"",""color"":""Onyx Black"",""inStock"":false}","api-regression","2026-07-02","failed","2026-07-02","Pairwise Testing — Product Search filter combinations","product/pairwiseTesting.test.ts","",""
"","69","[ST-V-04] S4→S6: requestReturn after delivery transitions to return_requested","api-regression","2026-07-02","failed","2026-07-02","State Transition — Order Lifecycle (valid transitions)","order/stateTransition.test.ts","",""
"","85","[POST+DELETE] Reserve then release restores original stock level","api-regression","2026-07-02","failed","2026-07-02","Inventory API — Reserve and Release","inventory/inventory.test.ts","",""
"","87","[FKT-07] Search: {""category"":""Electronics"",""size"":""128GB"",""inStock"":false}","api-regression","2026-07-02","failed","2026-07-02","Pairwise Testing — Product Search filter combinations","product/pairwiseTesting.test.ts","",""
"","68","[GET] Verify pagination works correctly","api-regression","2026-07-02","failed","2026-07-02","Product API - GET Operations","product/getProduct.test.ts","",""
"","98","[POST] Verify create order with a custom shipping address built via OrderRequestBuilder","api-regression","2026-07-02","failed","2026-07-02","Order API - Create Order with Test Data Builders","order/createOrderWithBuilder.test.ts","",""
"","77","[EG-P-07] addPaymentMethod without cardNumber is rejected","api-regression","2026-07-02","failed","2026-07-02","Error Guessing — Add Payment Method","payment/errorGuessing.test.ts","",""
"","88","[RBT-09] Inventory is decremented after a successful order placement","api-regression","2026-07-02","failed","2026-07-02","Risk-Based Testing — P2: Medium Risks (Regression)","checkout/riskBased.test.ts","",""
"","101","[FKT-05] Search: {""category"":""Clothing"",""size"":""XL"",""inStock"":false}","api-regression","2026-07-02","failed","2026-07-02","Pairwise Testing — Product Search filter combinations","product/pairwiseTesting.test.ts","",""
"","75","[EP-P-04] minPrice equals maxPrice returns exact-match products only","api-regression","2026-07-02","failed","2026-07-02","Equivalence Partitioning — Product Search: price range","product/equivalencePartitioning.test.ts","",""
"","88","[BVA-PG-04] page=99999 (beyond last page) returns empty data array","api-regression","2026-07-02","failed","2026-07-02","BVA — Product Search: page number boundaries","cart/boundaryValueAnalysis.test.ts","",""
